device,gpu_name,torch_version,cuda_version,d,C,batch,trials,iters,warmup_iters,build_iters,max_abs_diff_mean,max_abs_diff_std,max_rel_diff_mean,max_rel_diff_std,seq_apply_ms_mean,seq_apply_ms_std,wy_build_ms_mean,wy_build_ms_std,wy_apply_ms_mean,wy_apply_ms_std,wy_total_ms_mean,wy_total_ms_std,amortized_upfront_ms_per_apply,wy_effective_apply_ms,speedup_apply_only,speedup_total_once,speedup_including_upfront,break_even_applies
cpu,cpu,2.9.0a0+145a3a7bda.nv25.10,13.0,4096,4,8,2,20,3,10,4.7683716e-07,0,0.00013504286,0.00010368582,0.054737856,0.00023756993,0.071738707,0.0009831411,0.06630912,0.018570395,0.13804783,0.018596402,0.0035869353,0.069896055,0.82549514,0.39651371,0.78313226,inf
cpu,cpu,2.9.0a0+145a3a7bda.nv25.10,13.0,4096,8,8,2,20,3,10,5.9604645e-07,1.6858739e-07,0.00049162062,2.5578363e-05,0.10388645,0.00094076376,0.16330951,0.0037290083,0.044916989,0.00018215341,0.2082265,0.0037334545,0.0081654754,0.053082465,2.3128542,0.4989108,1.9570766,2.7693913
cpu,cpu,2.9.0a0+145a3a7bda.nv25.10,13.0,4096,16,8,2,20,3,10,9.5367432e-07,0,0.0012571624,0.0014975548,0.19680725,0.0017694762,1.8661888,0.12218852,0.077727134,0.0088513321,1.9439159,0.1225087,0.093309439,0.17103657,2.5320276,0.10124268,1.1506735,15.671708
cpu,cpu,2.9.0a0+145a3a7bda.nv25.10,13.0,4096,32,8,2,20,3,10,1.3113022e-06,1.6858739e-07,0.00048885065,0.00026104636,0.3858069,0.0037918334,6.0578157,2.2356719,0.090720784,0.0068227187,6.1485365,2.2356823,0.30289078,0.39361157,4.2526848,0.062747761,0.98017164,20.528976
cpu,cpu,2.9.0a0+145a3a7bda.nv25.10,13.0,4096,64,8,2,20,3,10,1.7881393e-06,1.6858739e-07,0.022176781,0.022952961,0.78215217,0.006419426,14.028884,6.22692,0.10386806,0.0006499505,14.132753,6.22692,0.70144422,0.80531228,7.5302476,0.05534323,0.97124084,20.682903
