device,gpu_name,torch_version,cuda_version,d,C,batch,trials,iters,warmup_iters,build_iters,max_abs_diff_mean,max_abs_diff_std,max_rel_diff_mean,max_rel_diff_std,seq_apply_ms_mean,seq_apply_ms_std,wy_build_ms_mean,wy_build_ms_std,wy_apply_ms_mean,wy_apply_ms_std,wy_total_ms_mean,wy_total_ms_std,amortized_upfront_ms_per_apply,wy_effective_apply_ms,speedup_apply_only,speedup_total_once,speedup_including_upfront,break_even_applies
cuda,NVIDIA GB10,2.9.0a0+145a3a7bda.nv25.10,13.0,4096,16,1,5,100,10,50,7.1525574e-07,0,3.1641244e-05,3.5862115e-05,0.31299321,0.001349136,0.50460544,0.0013848102,0.018493552,4.1807619e-06,0.52309899,0.0013848165,0.0050460544,0.023539606,16.924451,0.59834413,13.296451,1.713433
cuda,NVIDIA GB10,2.9.0a0+145a3a7bda.nv25.10,13.0,4096,16,4,5,100,10,50,9.0613961e-05,7.947154e-06,0.24906907,0.18353239,0.31386829,0.00019248191,0.50477626,0.001464463,0.016507842,0.00016644096,0.5212841,0.001473891,0.0050477626,0.021555604,19.013285,0.60210602,14.560867,1.6975232
cuda,NVIDIA GB10,2.9.0a0+145a3a7bda.nv25.10,13.0,4096,16,8,5,100,10,50,8.3994865e-05,8.6685986e-06,1.953862,3.1033215,0.31422823,0.0012740745,0.50485614,0.0012142343,0.016386183,0.000108504,0.52124233,0.0012190726,0.0050485614,0.021434744,19.176414,0.6028448,14.659761,1.6950466
cuda,NVIDIA GB10,2.9.0a0+145a3a7bda.nv25.10,13.0,4096,16,16,5,100,10,50,9.5232576e-05,1.3722407e-05,1.1614976,0.82327256,0.31346039,0.00107837,0.50525479,0.0024117869,0.016451364,8.4972482e-05,0.52170616,0.0024132833,0.0050525479,0.021503912,19.053762,0.60083704,14.5769,1.7011429
cuda,NVIDIA GB10,2.9.0a0+145a3a7bda.nv25.10,13.0,4096,16,32,5,100,10,50,9.804666e-05,1.4090899e-05,2.5901215,2.8132106,0.32130621,0.0044902334,0.51158089,0.010171449,0.018437069,0.0040636963,0.53001796,0.010953173,0.0051158089,0.023552878,17.427185,0.60621758,13.641909,1.6891153
