device,gpu_name,torch_version,cuda_version,d,C,batch,trials,iters,warmup_iters,build_iters,max_abs_diff_mean,max_abs_diff_std,max_rel_diff_mean,max_rel_diff_std,seq_apply_ms_mean,seq_apply_ms_std,wy_build_ms_mean,wy_build_ms_std,wy_apply_ms_mean,wy_apply_ms_std,wy_total_ms_mean,wy_total_ms_std,amortized_upfront_ms_per_apply,wy_effective_apply_ms,speedup_apply_only,speedup_total_once,speedup_including_upfront,break_even_applies
cpu,cpu,2.9.0a0+145a3a7bda.nv25.10,13.0,4096,16,1,5,100,10,50,7.6293945e-07,1.0662403e-07,0.00027194781,0.00029421382,0.16052736,0.061963603,1.7789982,0.29287163,0.29487323,0.27372553,2.0738715,0.40087337,0.017789982,0.31266322,0.54439447,0.077404681,0.51341939,inf
cpu,cpu,2.9.0a0+145a3a7bda.nv25.10,13.0,4096,16,4,5,100,10,50,9.5367432e-07,1.6858739e-07,0.0033992717,0.004252484,0.14981832,0.00090552298,1.6555942,0.13764867,0.076656193,0.0086395279,1.7322504,0.13791953,0.016555942,0.093212134,1.954419,0.086487681,1.6072834,22.629116
cpu,cpu,2.9.0a0+145a3a7bda.nv25.10,13.0,4096,16,8,5,100,10,50,1.001358e-06,1.0662403e-07,0.000792082,0.00086824752,0.21367257,0.038256446,1.5443488,0.28918316,0.14512573,0.1225435,1.6894745,0.31407613,0.015443488,0.16056921,1.4723273,0.1264728,1.3307194,22.52983
cpu,cpu,2.9.0a0+145a3a7bda.nv25.10,13.0,4096,16,16,5,100,10,50,1.0490417e-06,1.3058723e-07,0.0021477983,0.0016237828,0.60748747,0.190979,1.6193503,0.14517319,0.21177884,0.25783107,1.8311292,0.29589207,0.016193503,0.22797234,2.8684994,0.33175566,2.664742,4.0922795
cpu,cpu,2.9.0a0+145a3a7bda.nv25.10,13.0,4096,16,32,5,100,10,50,1.1920929e-06,2.3841858e-07,0.0047440584,0.005413726,0.9245006,0.56231767,1.9152853,0.33266705,0.23217601,0.21344367,2.1474613,0.3952538,0.019152853,0.25132886,3.9818955,0.43050861,3.6784498,2.7664557
