device,gpu_name,torch_version,cuda_version,d,C,batch,trials,iters,warmup_iters,build_iters,max_abs_diff_mean,max_abs_diff_std,max_rel_diff_mean,max_rel_diff_std,seq_apply_ms_mean,seq_apply_ms_std,wy_build_ms_mean,wy_build_ms_std,wy_apply_ms_mean,wy_apply_ms_std,wy_total_ms_mean,wy_total_ms_std,amortized_upfront_ms_per_apply,wy_effective_apply_ms,speedup_apply_only,speedup_total_once,speedup_including_upfront,break_even_applies
cpu,cpu,2.9.0a0+145a3a7bda.nv25.10,13.0,4096,4,8,5,100,10,50,4.7683716e-07,0,0.0001594707,9.2232749e-05,0.050923537,0.00058905384,0.070140388,0.00021693443,0.055277701,0.007540357,0.12541809,0.007543477,0.00070140388,0.055979105,0.9212311,0.40603024,0.90968831,inf
cpu,cpu,2.9.0a0+145a3a7bda.nv25.10,13.0,4096,8,8,5,100,10,50,6.6757202e-07,1.0662403e-07,0.00046489749,0.00024232857,0.09848118,0.0008001249,0.15603432,0.0010086116,0.046439394,0.00087244369,0.20247371,0.0013335874,0.0015603432,0.047999738,2.1206388,0.48638995,2.0517025,2.9982507
cpu,cpu,2.9.0a0+145a3a7bda.nv25.10,13.0,4096,16,8,5,100,10,50,1.001358e-06,1.0662403e-07,0.000792082,0.00086824752,0.21596945,0.046578877,1.5835314,0.51291076,0.21470468,0.18334291,1.798236,0.54469448,0.015835314,0.23053999,1.0058908,0.12010072,0.93679822,1252.026
cpu,cpu,2.9.0a0+145a3a7bda.nv25.10,13.0,4096,32,8,5,100,10,50,1.4305115e-06,2.9200193e-07,0.0052278494,0.0096139981,0.38509285,0.0062676333,5.3936692,1.9273127,0.13202638,0.098613543,5.5256955,1.9298339,0.053936692,0.18596307,2.9167872,0.069691289,2.0708028,21.313251
cpu,cpu,2.9.0a0+145a3a7bda.nv25.10,13.0,4096,64,8,5,100,10,50,1.9550323e-06,2.6117447e-07,0.033457122,0.04963435,0.76906383,0.010215335,10.727427,1.5362969,0.10193112,0.002470778,10.829358,1.5362989,0.10727427,0.20920538,7.5449368,0.071016568,3.6761187,16.079899
