device,gpu_name,torch_version,cuda_version,d,C,batch,trials,iters,warmup_iters,build_iters,max_abs_diff_mean,max_abs_diff_std,max_rel_diff_mean,max_rel_diff_std,seq_apply_ms_mean,seq_apply_ms_std,wy_build_ms_mean,wy_build_ms_std,wy_apply_ms_mean,wy_apply_ms_std,wy_total_ms_mean,wy_total_ms_std,amortized_upfront_ms_per_apply,wy_effective_apply_ms,speedup_apply_only,speedup_total_once,speedup_including_upfront,break_even_applies
cpu,cpu,2.9.0a0+145a3a7bda.nv25.10,13.0,512,16,8,5,100,10,50,8.1062317e-07,1.3058723e-07,0.00012362203,9.2641324e-05,0.089204727,0.00064336693,0.17862794,0.0016830235,0.020415924,0.0038982873,0.19904387,0.004246082,0.0017862794,0.022202204,4.3693699,0.44816617,4.0178321,2.596759
cpu,cpu,2.9.0a0+145a3a7bda.nv25.10,13.0,1024,16,8,5,100,10,50,9.059906e-07,1.0662403e-07,0.00081676145,0.001363665,0.1043068,0.0010783479,0.20253345,0.0013200381,0.025550278,0.00076066314,0.22808373,0.0015235187,0.0020253345,0.027575612,4.0824135,0.45731802,3.7825742,2.5716404
cpu,cpu,2.9.0a0+145a3a7bda.nv25.10,13.0,2048,16,8,5,100,10,50,8.5830688e-07,1.3058723e-07,0.0020153603,0.0039047973,0.13317297,0.0021455165,0.25367466,0.0011760404,0.040403659,0.00058499926,0.29407831,0.001313505,0.0025367466,0.042940405,3.2960622,0.45284866,3.1013441,2.7344674
cpu,cpu,2.9.0a0+145a3a7bda.nv25.10,13.0,4096,16,8,5,100,10,50,1.001358e-06,1.0662403e-07,0.000792082,0.00086824752,0.19267854,0.0013350549,1.8351952,0.044365737,0.066057909,0.013830027,1.9012531,0.04647137,0.018351952,0.084409861,2.9168125,0.10134292,2.2826543,14.493651
