device,d,C,batch,iters,warmup_iters,build_iters,max_abs_diff,seq_apply_ms,wy_apply_ms,upfront_build_ms,amortized_upfront_ms_per_apply,wy_effective_apply_ms,speedup_apply_only,speedup_including_upfront,break_even_applies
cuda,1024,64,8,20,5,10,0.00023686886,1.2720838,0.02049529,2.0577497,0.10288748,0.12338277,62.067127,10.31006,1.6441104
cuda,1024,128,8,20,5,10,0.00038814545,2.5124642,0.020400109,4.0075359,0.20037679,0.2207769,123.15935,11.380104,1.6081191
cuda,1024,256,8,20,5,10,0.00050216913,5.0145378,0.018163305,8.0942114,0.40471057,0.42287387,276.0807,11.858235,1.6200169
